nohup: ignoring input
 * Running on http://0.0.0.0:9222/ (Press CTRL+C to quit)
115.27.194.177 - - [10/May/2016 09:44:25] "GET /monitor HTTP/1.1" 200 -
115.27.194.177 - - [10/May/2016 09:44:25] "GET /static/lib/bootstrap-3.3.5-dist/css/bootstrap.min.css HTTP/1.1" 304 -
115.27.194.177 - - [10/May/2016 09:44:25] "GET /static/lib/jquery/jquery-1.9.1.min.js HTTP/1.1" 304 -
115.27.194.177 - - [10/May/2016 09:44:25] "GET /static/lib/bootstrap-3.3.5-dist/js/bootstrap.min.js HTTP/1.1" 304 -
115.27.194.177 - - [10/May/2016 09:47:47] "POST /setstatus HTTP/1.1" 200 -
115.27.194.177 - - [10/May/2016 09:47:49] "GET /monitor HTTP/1.1" 200 -
115.27.194.177 - - [10/May/2016 09:47:59] "POST /setstatus HTTP/1.1" 200 -
115.27.194.177 - - [10/May/2016 09:48:01] "GET /monitor HTTP/1.1" 200 -
115.27.194.177 - - [10/May/2016 09:48:07] "GET /monitor HTTP/1.1" 200 -
115.27.194.177 - - [10/May/2016 09:48:07] "GET /static/lib/bootstrap-3.3.5-dist/css/bootstrap.min.css HTTP/1.1" 304 -
115.27.194.177 - - [10/May/2016 09:48:07] "GET /static/lib/jquery/jquery-1.9.1.min.js HTTP/1.1" 304 -
115.27.194.177 - - [10/May/2016 09:48:07] "GET /static/lib/bootstrap-3.3.5-dist/js/bootstrap.min.js HTTP/1.1" 304 -
162.105.80.167 - - [10/May/2016 10:46:18] "GET /userinfo HTTP/1.1" 200 -
162.105.80.167 - - [10/May/2016 10:46:18] "GET /static/lib/bootstrap-3.3.5-dist/css/bootstrap.min.css HTTP/1.1" 304 -
162.105.80.167 - - [10/May/2016 10:46:18] "GET /static/lib/jquery/jquery-1.9.1.min.js HTTP/1.1" 304 -
162.105.80.167 - - [10/May/2016 10:46:18] "GET /static/lib/bootstrap-3.3.5-dist/js/bootstrap.min.js HTTP/1.1" 304 -
162.105.80.167 - - [10/May/2016 13:17:23] "GET /userinfo HTTP/1.1" 200 -
162.105.80.167 - - [10/May/2016 13:17:23] "GET /static/lib/bootstrap-3.3.5-dist/css/bootstrap.min.css HTTP/1.1" 304 -
